,Kaupunginosa ,Huoneisto,Talot. ,m2 ,Vh € ,€/m2 ,Rv ,Krs ,Hissi ,Kunto ,Tontti ,Energial. ,postcode
0,,,,,,,,,,,,,20700
1,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,20700
2,Itäinen keskusta,1 h+kk,kt,3200,95000,2969,1970,3/7,on,hyvä,oma,F2013,20700
3,Itäinen keskusta,"1h/liiketila, t...",kt,7820,220000,2813,1929,,on,hyvä,oma,F,20700
4,Itäinen keskusta,1h,kt,2670,123000,4607,1929,1/6,on,tyyd.,oma,F,20700
5,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,20700
6,Itäinen keskusta,"2 h, kk, ph, vh",kt,4350,162000,3724,1957,2/6,on,hyvä,oma,E2013,20700
7,Keskusta itä,"2h,kk,kh",kt,4350,160000,3678,1961,2/7,on,hyvä,oma,G2007,20700
8,Keskusta,2h+kk,kt,3700,145000,3919,1958,7/8,on,hyvä,oma,D2007,20700
9,Itäinen keskusta,"2h,k,kph,parveke",kt,5000,185000,3700,1962,7/7,on,hyvä,oma,F2013,20700
10,Itäinen keskusta,2 h+k,kt,5100,175100,3433,1961,4/7,on,hyvä,oma,G2013,20700
11,Keskusta,"2 h, k, p",kt,5000,172500,3450,1962,5/7,on,hyvä,oma,F2013,20700
12,Itäinen keskusta,"2h, k, kph/wc",kt,5700,205000,3596,1963,4/7,on,hyvä,oma,D2018,20700
13,Itäinen keskusta,"2h, k, kph, p, vh",kt,5500,171500,3118,1965,1/7,on,hyvä,oma,E2013,20700
14,Itäinen keskusta,"2h, k, s, las.p",kt,5700,195000,3421,1988,3/6,on,tyyd.,oma,D2018,20700
15,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,20700
16,Itäinen keskusta,"3h, k",kt,7300,248000,3397,1964,4/7,on,hyvä,oma,F2013,20700
17,Itäinen keskusta,3h+k+vh+kph+p,kt,6300,234000,3714,1967,9/9,on,hyvä,oma,D2013,20700
18,Itäinen keskusta,3h+k+vh+kph+p,kt,6300,234000,3714,1967,9/9,on,hyvä,oma,D2013,20700
19,Keskusta,"3h,k,kph/s,wc,p...",kt,6500,238500,3669,2002,5/7,on,,oma,F2013,20700
20,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,20700
21,Keskusta itä,"4h,k,s,wc,vh,la...",kt,9200,267000,2902,1966,6/6,on,hyvä,oma,D2007,20700
22,Iii-kaupunginosa,4h + k + ph + k...,kt,16300,650000,3988,1908,2/3,ei,hyvä,oma,E2007,20700
23,Itäinen keskusta,"oh, rh, 2 k, 5...",kt,25300,840000,3320,1910,3/4,on,huono,oma,E2013,20700
24,,,,,,,,,,,,,20700
0,1,1,1,1,1,1,1,1,1,1,1,1,20720
1,,1,,,,,,,,,,,20720
2,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,20720
3,Luolavuori,"1h,kk,kph,et",kt,3000,102001,3400,1958,7/8,on,tyyd.,oma,F2013,20720
4,Petrelius,1h+kk,kt,3000,96000,3200,1976,3/8,on,,oma,D2007,20720
5,Luolavuori,"1 h,k,parv",kt,3000,94500,3150,1969,4/8,on,hyvä,oma,D2007,20720
6,Vasaramäki,"1h, kk, p",kt,2800,100000,3571,1964,1/6,on,hyvä,oma,E2013,20720
7,Vasaramäki,"1h, kk",kt,2600,66300,2550,1961,1/4,ei,tyyd.,vuokra,F2007,20720
8,Vasaramäki,"1h, kk",kt,2800,72500,2589,1961,2/4,ei,tyyd.,vuokra,F2007,20720
9,Vasaramäki,"1h, kk",kt,2800,72500,2589,1961,2/4,ei,tyyd.,vuokra,F2007,20720
10,Vasaramäki,"1h, kk",kt,2800,71400,2550,1961,3/4,ei,tyyd.,vuokra,F2007,20720
11,Vasaramäki,"1h, kk",kt,2800,71400,2550,1961,2/4,ei,tyyd.,vuokra,F2007,20720
12,Vasaramäki,"1h, kk",kt,2800,71400,2550,1961,4/4,ei,tyyd.,vuokra,F2007,20720
13,Vasaramäki,"1h, kk",kt,2800,71400,2550,1961,4/4,ei,tyyd.,vuokra,F2007,20720
14,Vasaramäki,"1h, kk",kt,2800,71400,2550,1961,4/4,ei,tyyd.,vuokra,F2007,20720
15,Vasaramäki,"1h, kk",kt,2850,72675,2550,1961,1/4,ei,tyyd.,vuokra,F2007,20720
16,Vasaramäki,"1h, kk",kt,2400,61200,2550,1961,1/4,ei,tyyd.,vuokra,F2007,20720
17,Vasaramäki,"1h, kk",kt,2600,66300,2550,1961,1/4,ei,tyyd.,vuokra,F2007,20720
18,Vasaramäki,"1h, kk",kt,2800,71400,2550,1961,1/4,ei,tyyd.,vuokra,F2007,20720
19,Vasaramäki,"1h, kk",kt,2400,61200,2550,1961,4/4,ei,tyyd.,vuokra,F2007,20720
20,Vasaramäki,"1h, kk",kt,2600,66300,2550,1961,1/4,ei,hyvä,vuokra,F2007,20720
21,Vasaramäki,"1h, kk",kt,2600,66300,2550,1961,1/4,ei,tyyd.,vuokra,F2007,20720
22,Vasaramäki,"1h, kk",kt,2600,66300,2550,1961,1/4,ei,tyyd.,vuokra,F2007,20720
23,Vasaramäki,"1h, kk",kt,2800,71400,2550,1961,3/4,ei,tyyd.,vuokra,F2007,20720
24,Vasaramäki,1h+kt,kt,2450,149000,6082,2018,5/6,on,hyvä,oma,C2018,20720
25,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,20720
26,Vasaramäki,"2h,k,p",kt,4900,90700,1851,1961,3/4,ei,tyyd.,vuokra,F2007,20720
27,Petrelius,2h+k+parv,kt,5900,135550,2297,1972,3/8,on,tyyd.,oma,F2013,20720
28,Vasaramäki,"2h, k, kh, p",kt,4700,89300,1900,1961,3/4,ei,tyyd.,vuokra,F2007,20720
29,Vasaramäki,"2h,k,p",kt,4700,89500,1904,1961,3/4,ei,tyyd.,vuokra,F2007,20720
30,Vasaramäki,"2h, k, kh, p",kt,5000,89000,1780,1961,1/1,ei,tyyd.,vuokra,F2007,20720
31,Vasaramäki,"2h,k,kph,las.parv",kt,5000,133000,2660,1963,4/4,ei,hyvä,oma,E2013,20720
32,Vasaramäki,"2h,k,p",kt,4700,90000,1915,1961,4/4,ei,tyyd.,vuokra,F2007,20720
33,Vasaramäki,"2h, k, kh, p",kt,5600,155200,2771,1956,2/4,ei,hyvä,vuokra,,20720
34,Vasaramäki,"2h,k,p",kt,4700,91000,1936,1961,4/4,ei,tyyd.,vuokra,F2007,20720
35,Petrelius,"2, k, kph, p",kt,5900,138000,2339,1969,4/8,on,hyvä,oma,F2013,20720
36,Luolavuori,"2h,k,p",kt,5350,120000,2243,1968,4/8,on,hyvä,oma,E2013,20720
37,Vasaramäki,"2h, kk",kt,3900,74100,1900,1961,1/4,ei,tyyd.,vuokra,F2007,20720
38,Vasaramäki,"2h,k,p",kt,4700,89300,1900,1961,4/4,ei,tyyd.,vuokra,F2007,20720
39,Vasaramäki,"2h,k,p",kt,4700,91650,1950,1961,2/4,ei,tyyd.,vuokra,F2007,20720
40,Luolavuori,2h+kk,kt,4500,139000,3089,1961,1/8,on,hyvä,oma,G2013,20720
41,Luolavuori,"2h, k, p",kt,5350,113000,2112,1968,6/8,on,tyyd.,oma,F2013,20720
42,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,20720
43,Luolavuori,"3h,k,kph,vh",kt,7600,140000,1842,1967,8/8,on,tyyd.,oma,D2007,20720
44,Vasaramäki,"3h, k, kh, p",kt,5850,105000,1795,1961,4/4,ei,tyyd.,vuokra,F2007,20720
45,Vasaramäki,"3,h,k,kph,parv",kt,7700,141000,1831,1957,3/4,ei,hyvä,vuokra,F2013,20720
46,Luolavuori,"3h,k,p",kt,7600,129500,1704,1967,5/8,on,tyyd.,oma,D2013,20720
47,Vasaramäki,"3h, k, kh, p",kt,5850,134000,2291,1961,2/4,ei,hyvä,vuokra,F2007,20720
48,Luolavuori,"3h, k, p",kt,6300,147000,2333,1961,5/8,on,hyvä,oma,G2007,20720
49,Vasaramäki,"3h, k, kh, p",kt,6200,110000,1774,1961,2/4,ei,tyyd.,vuokra,F2007,20720
50,Luolavuori,"3h, k, parveke",kt,7650,160000,2092,1974,4/8,on,hyvä,oma,D,20720
51,Luolavuori,3h+k+p,kt,7500,139500,1860,1980,3/6,on,tyyd.,oma,C2013,20720
52,Luolavuori,3-4h+k+at,rt,7300,188000,2575,1956,1/2,ei,tyyd.,vuokra,E2013,20720
53,Vasaramäki,"3h, k, kph, p",kt,6550,168000,2565,1964,4/4,on,hyvä,vuokra,G2013,20720
54,Petrelius,3h+k+parv,kt,7650,165000,2157,1976,3/8,on,tyyd.,oma,D2007,20720
55,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,20720
56,Petrelius,"4h, k, s, kph, ...",kt,12000,249000,2075,1969,5/8,on,hyvä,oma,F2013,20720
57,Petrelius,4h+k+eril. wc+v...,kt,9100,198000,2176,1969,6/8,on,hyvä,oma,F2013,20720
58,1,1,1,1,1,1,1,1,1,1,1,1,20720
59,,1,,,,,,,,,,,20720
0,2,2,2,2,2,2,2,2,2,2,2,2,20720
1,,2,,,,,,,,,,,20720
2,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,20720
3,Luolavuori,"3-4h, k, kph, v...",rt,8100,212000,2617,1956,1/2,ei,hyvä,vuokra,E2013,20720
4,Petrelius,"4-5h,k,kph,wc,s...",kt,13400,282000,2104,1969,8/8,on,hyvä,oma,F2013,20720
5,Petrelius,"3 mh, oh, k, rh...",rt,12100,300000,2479,1980,2/2,ei,hyvä,oma,D2013,20720
6,Petrelius,4h+k+wc+kph/wc+...,kt,12000,276000,2300,1969,7/8,on,,oma,F2013,20720
7,2,2,2,2,2,2,2,2,2,2,2,2,20720
8,,2,,,,,,,,,,,20720
0,,,,,,,,,,,,,20740
1,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,20740
2,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",20740
3,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,20740
4,Ilpoinen,2h+k,kt,5250,110000,2095,1971,8/8,on,hyvä,oma,E,20740
5,Ilpoinen,"2h, k, p",kt,6050,73000,1207,1973,2/8,on,tyyd.,oma,F,20740
6,Koivula,"2h,k,kph,vh+las...",kt,6400,105000,1641,1985,1/3,ei,hyvä,oma,C2007,20740
7,Katariina,2h+k+p,kt,6950,152000,2187,1988,1/3,on,hyvä,vuokra,E2013,20740
8,Ilpoinen,2 h + k,kt,5500,80000,1455,1970,1/3,ei,,oma,F2013,20740
9,Ilpoinen,2 h+k,kt,5950,108000,1815,1974,7/8,on,tyyd.,oma,F2013,20740
10,Ilpoinen,"2 h, kk",kt,4750,83500,1758,1972,1/3,ei,hyvä,oma,D2018,20740
11,Ilpoinen,"2 h, k",kt,5500,78000,1418,1970,3/3,ei,tyyd.,oma,F,20740
12,Harittu,2h+k+s,kt,5550,100000,1802,1990,2/3,ei,tyyd.,oma,E2007,20740
13,Harittu,"2h,k,s,p",kt,5850,120000,2051,1987,3/3,ei,tyyd.,oma,D2007,20740
14,Ilpoinen,"2h,k,kph",kt,5500,70000,1273,1971,1/3,ei,tyyd.,oma,F2013,20740
15,Ilpoinen,2-3H+K+KPH+P,kt,7300,115000,1575,1972,3/7,on,tyyd.,oma,C2018,20740
16,Harittu,2h+k,kt,5800,96000,1655,1989,3/3,ei,hyvä,oma,C2007,20740
17,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,20740
18,Koivula,"3h,k,s",kt,7800,128000,1641,1985,2/3,ei,tyyd.,oma,D2007,20740
19,Ilpoinen,"3 h,k",kt,6700,140000,2090,1971,5/8,ei,hyvä,oma,D2018,20740
20,Ilpoinen,"3h, k, kh, wc, p",kt,6700,112000,1672,1971,5/8,on,hyvä,oma,E2013,20740
21,Ilpoinen,"3h,avokeitti...",kt,7650,146500,1915,1975,4/8,on,hyvä,oma,,20740
22,Ilpoinen,3h + k,kt,7650,132500,1732,1974,7/9,on,hyvä,oma,F,20740
23,Ilpoinen,"3 h, k, kph, p",kt,7300,100000,1370,1971,1/3,ei,hyvä,oma,D2018,20740
24,Harittu,"3h,k,s",kt,6950,160000,2302,1988,5/5,on,hyvä,oma,C2013,20740
25,Koivula,"3h, ak",kt,6250,134000,2144,1985,3/6,on,hyvä,oma,F,20740
26,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,20740
27,Koivula,4 h+k+s,rt,9800,225000,2296,1989,2/2,ei,hyvä,oma,E2013,20740
28,Koivula,"4 h, k, s, kph,...",rt,9800,197000,2010,1967,2/2,ei,huono,vuokra,G2007,20740
29,Ilpoinen,"4h,k,kph,wc,s",kt,9100,128000,1407,1975,2/8,on,,oma,F2013,20740
30,Ilpoinen,4h+k,kt,8600,126000,1465,1972,3/7,on,tyyd.,oma,F2007,20740
31,Harittu,4h+k+s,rt,9200,208000,2261,1988,1/2,ei,tyyd.,vuokra,A2007,20740
32,,,ok,13700,245000,1788,1965,,ei,tyyd.,oma,E2018,20740
33,,"5h, k, s, autot...",ok,14100,225000,1596,1995,-1/1,ei,tyyd.,vuokra,E2018,20740
34,,,,,,,,,,,,,20740
0,,,,,,,,,,,,,20750
1,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,20750
2,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",20750
3,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,20750
4,Lauste,2h+k,kt,6050,100168,1656,1975,2/8,on,hyvä,vuokra,C2007,20750
5,Lauste,"2h, k, p",kt,5700,48500,851,1973,1/4,ei,hyvä,vuokra,D,20750
6,Huhkola,2h+k+wc+kph+sau...,rt,6150,156000,2537,1990,1/1,ei,hyvä,vuokra,D2007,20750
7,Lauste,"2 h, k, vh, p",kt,5850,72000,1231,1974,4/8,on,hyvä,vuokra,E2013,20750
8,Lauste,"2h, k, p",kt,5900,55000,932,1973,1/4,on,tyyd.,vuokra,F2013,20750
9,Lauste,"2h,k,kph/wc, vh...",kt,5900,55000,932,1974,8/8,on,,vuokra,E2013,20750
10,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,20750
11,Huhkola,"3h, k, kph, s, ...",rt,8450,175000,2071,1992,2/2,ei,hyvä,oma,E2013,20750
12,Huhkola,3 h+k+s,rt,8000,180000,2250,1987,,ei,,oma,D2007,20750
13,Lauste,3h+k+kph+wc+vh+...,kt,7500,65000,867,1969,7/7,on,tyyd.,vuokra,F2013,20750
14,Lauste,"3h,k,kph,lasite...",kt,7250,59000,814,1980,4/4,ei,tyyd.,oma,F2013,20750
15,Lauste,"3h,k,ph,wc,p",kt,7700,65000,844,1976,4/4,ei,hyvä,oma,F2013,20750
16,Lauste,"3 h,k,kph,parv",kt,7200,72000,1000,1980,2/4,ei,,oma,F2013,20750
17,Lauste,"3 h,k,kph,wc,parv",kt,7600,69000,908,1973,1/3,on,hyvä,vuokra,F2013,20750
18,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,20750
19,Huhkola,"5h, k, kh/wc, s...",rt,10150,236382,2329,1989,1/1,ei,hyvä,oma,E2007,20750
20,Lauste,"4h,k,kph,s,wc,vh",rt,10200,140500,1377,1981,,ei,hyvä,oma,D2013,20750
21,Lauste,4h,kt,8750,63000,720,1973,1/4,ei,tyyd.,vuokra,D,20750
22,,"4h, k, s",ok,7500,140000,1867,1957,-1/3,ei,tyyd.,oma,,20750
23,,,,,,,,,,,,,20750
0,,,,,,,,,,,,,20760
1,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,20760
2,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",20760
3,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,20760
4,Kairiskulma,2h+kk+s,kt,4400,136000,3091,2007,2/6,on,hyvä,oma,C2007,20760
5,Piispanristi,"2h,k,kph,vh,p",kt,5700,71000,1246,1986,3/6,on,huono,oma,D2007,20760
6,Piispanristi,"2h, kk, kh, p",kt,4900,85000,1735,1976,1/4,ei,tyyd.,oma,C2013,20760
7,Piispanristi,"2h, k",kt,5500,99000,1800,1983,1/6,on,hyvä,oma,C,20760
8,Piispanristi,"2h,kk,kph,p",kt,4100,74001,1805,1972,2/6,on,hyvä,oma,C2013,20760
9,Piispanristi,"2h, k",kt,5800,110000,1897,1984,1/6,on,hyvä,oma,C,20760
10,Auvainen,2H+K+KHH+S+PH+WC,rt,6550,164000,2504,1990,1/1,ei,hyvä,oma,C2007,20760
11,Piispanristi,"2h, k, kph, p",kt,5600,99000,1768,1979,1/6,on,tyyd.,oma,C2007,20760
12,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,20760
13,Piispanristi,"3h, k, kh, s",rt,8950,165000,1844,1975,1/1,ei,tyyd.,oma,E2007,20760
14,Piispanristi,"3h,k,vh,wc/kph,p",kt,7700,105000,1364,1972,2/6,on,tyyd.,oma,C2013,20760
15,Piispanristi,"3h,k,vh,wc,kh,p",kt,7700,108000,1403,1974,3/6,on,hyvä,oma,C2013,20760
16,Herrasniitty,"3 h, k, kph, s",rt,8200,259500,3165,2020,1/1,ei,hyvä,oma,,20760
17,Piispanristi,3 h+k+s,kt,6900,175000,2536,2007,2/6,on,hyvä,oma,C2007,20760
18,Herrasniitty,"3 h, k, kph, s",rt,6700,228000,3403,2020,1/1,ei,hyvä,oma,,20760
19,Herrasniitty,"3 h, k, kph, s",rt,7200,238000,3306,2020,1/1,ei,hyvä,oma,,20760
20,Herrasniitty,"3 h, k, kph, s",rt,8200,259500,3165,2020,1/1,ei,hyvä,oma,,20760
21,Herrasniitty,"3 h, k, kph, s",rt,7200,238600,3314,2020,1/1,ei,hyvä,oma,,20760
22,Herrasniitty,"3 h, k, kph, s",rt,8200,259500,3165,2020,1/1,ei,hyvä,oma,,20760
23,Piispanristi,"3 h,k,kph,vh,parv",kt,8000,123000,1538,1984,5/6,on,,oma,D2007,20760
24,,OH+K+2xMH+ty...,ok,9500,199000,2095,1961,1/1,ei,tyyd.,oma,,20760
25,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,20760
26,Piispanristi,"4 h,k,s",rt,10050,197000,1960,1998,1/2,ei,hyvä,oma,E2007,20760
27,Piispanristi,"4h, k, p",kt,9850,139000,1411,1979,4/8,on,hyvä,oma,D2007,20760
28,Piispanristi,3mh+oh+k+s+ph+a...,ok,9900,188000,1899,1963,1/1,ei,hyvä,oma,E2018,20760
29,Piispanristi,4h+k+2wc+ph/s+t...,ok,10000,235000,2350,1954,2/2,ei,hyvä,oma,,20760
30,Piispanristi,"oh, avokeitti...",ok,18800,475000,2527,2001,2/2,ei,hyvä,oma,F2013,20760
31,Piispanristi,4h+k,kt,9250,140500,1519,1972,2/6,on,hyvä,oma,C2013,20760
32,Herrasniitty,"5 h, k, kph, s",rt,12500,369800,2958,2020,1/1,ei,hyvä,oma,,20760
33,Herrasniitty,"4 h, k, kph, s",rt,9200,287800,3128,2020,1/1,ei,hyvä,oma,,20760
34,Piispanristi,"4h, k, kuisti, s",ok,10400,172000,1654,1942,-1/3,ei,tyyd.,oma,,20760
35,Herrasniitty,"4 h, k, kph, s",rt,9200,287800,3128,2020,1/1,ei,hyvä,oma,,20760
36,,,,,,,,,,,,,20760
0,1,1,1,1,1,1,1,1,1,1,1,1,20780
1,,1,,,,,,,,,,,20780
2,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,20780
3,Keskusta,1h+tk+s,kt,4100,107500,2622,2002,6/7,on,tyyd.,oma,C2018,20780
4,Kaarina,1H+KT,kt,2700,116767,4325,2020,7/8,ei,hyvä,vuokra,B2018,20780
5,Kaarina,1H+KT,kt,2700,114767,4251,2020,6/8,ei,hyvä,vuokra,B2018,20780
6,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,20780
7,Hovirinta,"2h, k, s",rt,6300,140000,2222,1987,1/1,ei,hyvä,oma,B2013,20780
8,Hovirinta,"2h,avokk,kph,s,p",kt,4500,94000,2089,1989,3/3,ei,hyvä,oma,F2013,20780
9,Keskusta,"2h, k, s",kt,5700,128000,2246,1999,2/6,on,tyyd.,oma,C2013,20780
10,Keskusta,"2h,k,kph,p",kt,5900,79000,1339,1976,6/6,on,tyyd.,oma,F2013,20780
11,Sorro,2,rt,6400,159000,2484,1992,1/1,ei,tyyd.,oma,,20780
12,Hovirinta,2 h+k,kt,5700,79500,1395,1973,4/8,on,tyyd.,oma,B2018,20780
13,Hovirinta,"2h, k, lasp",kt,5900,76000,1288,1974,4/7,on,tyyd.,oma,F2013,20780
14,Keskusta,"2h,kk,s,kph,vh,p",kt,5200,135000,2596,2001,5/5,on,hyvä,oma,D2013,20780
15,Hovirinta,"2h,k,kph",kt,5900,81000,1373,1974,4/4,ei,,oma,F2013,20780
16,Pohjola,"2 h,k,s",rt,5300,185000,3491,2018,1/1,ei,hyvä,oma,C2013,20780
17,Keskusta,"2h,kt,s,parveke",kt,5800,213000,3672,2015,3/4,on,hyvä,oma,C2018,20780
18,Kesämäki,"2h,k,s,wc",rt,6400,146000,2281,1989,1/1,ei,hyvä,oma,A2007,20780
19,Keskusta,"2 h,kt,s,lasit....",kt,5100,188700,3700,2020,3/7,on,,oma,C2013,20780
20,Keskusta,"2h,k,kph,s,p",kt,5700,95000,1667,1985,2/5,on,tyyd.,oma,F2013,20780
21,Keskusta,2h+kk+s,kt,4400,124000,2818,2004,4/6,on,hyvä,oma,C2013,20780
